sample	population	continental_group	cohort	hg_short	hg_long
200080	CEU	EUR	ceph	R1b	R1b1a1b1a1a1c2b2b1a
200084	CEU	EUR	ceph	R1b	R1b1a1b1a1a1c2b2b1a
200085	CEU	EUR	ceph	R1b	R1b1a1b1a1a1c2b2b1a
HG00096	GBR	EUR	hgsvc	R1b	R1b1a1b1a1a2c1a1f1a2
HG00126	GBR	EUR	hprc	R1b	R1b1a1b1a1a2a1b1a1
HG00140	GBR	EUR	hprc	I1	I1
HG002	ASK	EUR	hprc	J1	J1a2a1a2c1a1
HG00280	FIN	EUR	hprc	N1	N1a1a1a1a1a
HG00290	FIN	EUR	hprc	N1	N1a1a1a1a2a1a1a1a1a
HG003	ASK	EUR	hprc	J1	J1a2a1a2c1a1
HG00321	FIN	EUR	hprc	I1	I1a1b1a4a1a1
HG00329	FIN	EUR	hprc	N1	N1a1a1a1a2a1a1a
HG00358	FIN	EUR	hgsvc	N1	N1a1a1a1a2a1a1a1a1a
HG005	CHS	EAS	hprc	D1	D1a1a1a
HG00512	CHS	EAS	hgsvc	O2a2b	O2a2b1a2a1a
HG00609	CHS	EAS	hprc	O2a1	O2a1b1a1a1a
HG00621	CHS	EAS	hprc	O2a2b	O2a2b1a1a1
HG00642	PUR	AMR	hprc	R1b	R1b
HG00658	CHS	EAS	hprc	O2a2a	O2a2a1a1a
HG00673	CHS	EAS	hprc	O2a2a	O2a2a1a1a
HG00706	CHS	EAS	hprc	O2a2a	O2a2a1a1a
HG00731	PUR	AMR	hgsvc	R1b	R1b1a1b1a1a2a5
HG00738	PUR	AMR	hprc	R1b	R1b1a1b1a1a2b1c2b1a2
HG01074	PUR	AMR	hprc	E1b1b	E1b1b1a1b1a
HG01099	PUR	AMR	hprc	G2	G2a2b2a1a1b1a1b
HG01106	PUR	AMR	hprc	E1b1b	E1b1b1b1a1
HG01109	PUR	AMR	hprc	E1b1b	E1b1b1a1b1a
HG01167	PUR	AMR	hprc	I2	I2a1a1a
HG01192	PUR	AMR	hprc	T1	T1a1a1b2b2b1a1a2
HG01243	PUR	AMR	hprc	R1b	R1b1a1b1a1a2a5
HG01252	CLM	AMR	hprc	E1b1b	E1b1b1b2a1a1
HG01255	CLM	AMR	hprc	J1	J1
HG01258	CLM	AMR	hprc	J1	J1
